hg18,panTro1,rheMac2,mm8,rn4,oryCun1,canFam2,bosTau2,dasNov1,loxAfr1,echTel1,monDom4
1,1,1,0,0,0,1,0,0,0,0,0
1,1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,0,1,0,0
1,1,1,0,1,0,0,0,0,0,1,0
1,0,1,0,1,0,1,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,0,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,1,1,0,1,0,1,1,1,0,0,0
1,1,0,0,1,0,1,0,1,1,0,0
1,0,1,1,1,0,1,1,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0
1,1,1,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0
1,1,1,0,1,1,1,1,1,1,1,0
1,1,1,0,0,0,0,1,0,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0
1,1,1,0,0,0,1,1,0,0,1,0
